Apr-10,Apr-11,Apr-12,Apr-13,Apr-14,Apr-15,Apr-16,Apr-17,Apr-18,Apr-19,Apr-20,Apr-21,Aug-10,Aug-11,Aug-12,Aug-13,Aug-14,Aug-15,Aug-16,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Dec-19,Dec-20,Feb-10,Feb-11,Feb-12,Feb-13,Feb-14,Feb-15,Feb-16,Feb-17,Feb-18,Feb-19,Feb-20,Feb-21,Jan-10,Jan-11,Jan-12,Jan-13,Jan-14,Jan-15,Jan-16,Jan-17,Jan-18,Jan-19,Jan-20,Jan-21,Jul-10,Jul-11,Jul-12,Jul-13,Jul-15,Jul-16,Jul-17,Jul-18,Jul-19,Jul-20,Jul-21,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Jun-16,Jun-17,Jun-18,Jun-19,Jun-20,Jun-21,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,May-10,May-11,May-12,May-13,May-14,May-15,May-16,May-17,May-18,May-19,May-20,May-21,Nov-10,Nov-11,Nov-12,Nov-13,Nov-14,Nov-15,Nov-16,Nov-17,Nov-18,Nov-19,Nov-20,Nov-21,Oct-10,Oct-11,Oct-12,Oct-13,Oct-14,Oct-15,Oct-16,Oct-17,Oct-18,Oct-19,Oct-20,Oct-21,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21
SIEMENS,RPOWER,RELINFRA,POWERGRID,POWERGRID,LT,RELIANCE,RELIANCE,SUNPHARMA,SUNPHARMA,SBIN,SHREECEM,SIEMENS,RPOWER,RELINFRA,POWERGRID,POWERGRID,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SHREECEM,SHREECEM,SESAGOA,RPOWER,RELIANCE,POWERGRID,RELIANCE,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SAIL,SESAGOA,RPOWER,RELIANCE,POWERGRID,RELIANCE,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SAIL,SESAGOA,RPOWER,RELIANCE,POWERGRID,RELIANCE,SBIN,SBIN,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SIEMENS,RPOWER,RELINFRA,POWERGRID,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SHREECEM,SHREECEM,SIEMENS,RPOWER,RELINFRA,POWERGRID,POWERGRID,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBIN,SHREECEM,SAIL,RPOWER,RPOWER,RELIANCE,POWERGRID,SBIN,SBIN,RELIANCE,SBIN,SUNPHARMA,SBIN,SHREECEM,SIEMENS,RPOWER,RELINFRA,PNB,POWERGRID,SBIN,RELIANCE,SBIN,SBIN,SUNPHARMA,SBIN,SHREECEM,SESAGOA,RPOWER,RELIANCE,POWERGRID,RELIANCE,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SHREECEM,SESAGOA,RPOWER,RELIANCE,POWERGRID,RELIANCE,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SHREECEM,RPOWER,RELIANCE,POWERGRID,POWERGRID,SBIN,RELIANCE,SBIN,SUNPHARMA,SUNPHARMA,SBILIFE,SHREECEM
SBIN,SESAGOA,SAIL,RANBAXY,RELIANCE,ULTRACEMCO,SBIN,SBIN,TCS,TCS,SUNPHARMA,SBIN,SBIN,SAIL,SAIL,RANBAXY,RELIANCE,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SBIN,SBIN,SIEMENS,SAIL,RELINFRA,RANBAXY,SBIN,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SHREECEM,SBIN,SIEMENS,SAIL,RELINFRA,RANBAXY,SBIN,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SHREECEM,SBIN,SIEMENS,SAIL,RELINFRA,RANBAXY,SBIN,SUNPHARMA,SUNPHARMA,SUNPHARMA,TCS,TCS,SHREECEM,SBIN,SAIL,SAIL,RANBAXY,SUNPHARMA,SBIN,SUNPHARMA,TATAMOTORS,TCS,SBIN,SBIN,SBIN,SAIL,SAIL,RANBAXY,RELIANCE,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SUNPHARMA,SBIN,SBIN,SESAGOA,SESAGOA,RELINFRA,RELIANCE,SSLT,SUNPHARMA,SBIN,SUNPHARMA,TCS,SUNPHARMA,SBIN,SBIN,SAIL,SAIL,RANBAXY,RELIANCE,SUNPHARMA,SBIN,SUNPHARMA,SUNPHARMA,TCS,SUNPHARMA,SBIN,SIEMENS,SAIL,RELINFRA,RANBAXY,SBIN,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SHREECEM,SBIN,SIEMENS,SESAGOA,RELINFRA,RANBAXY,SBIN,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SHREECEM,SBIN,SAIL,RELINFRA,RANBAXY,RANBAXY,SUNPHARMA,SBIN,SUNPHARMA,TCS,TCS,SHREECEM,SBIN
SAIL,SIEMENS,SBIN,RELIANCE,SBIN,TCS,SUNPHARMA,SUNPHARMA,TATAMOTORS,TATAMOTORS,TCS,SUNPHARMA,SAIL,SBIN,SBIN,RELIANCE,SBIN,TATAMOTORS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SUNPHARMA,SUNPHARMA,SBIN,SBIN,SBIN,RELIANCE,SSLT,TCS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SBIN,SIEMENS,SBIN,SBIN,SBIN,RELIANCE,SSLT,TCS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SBIN,SIEMENS,SBIN,SBIN,SBIN,RELIANCE,SSLT,TCS,TCS,TCS,TATAMOTORS,TATAMOTORS,SBIN,SAIL,SBIN,SBIN,RELIANCE,TATAMOTORS,SUNPHARMA,TCS,TATASTEEL,TATAMOTORS,SUNPHARMA,SUNPHARMA,SAIL,SBIN,SBIN,RELIANCE,SBIN,TATAMOTORS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,TCS,SUNPHARMA,SIEMENS,SIEMENS,SIEMENS,SIEMENS,SBIN,SUNPHARMA,TCS,SUNPHARMA,TCS,TATAMOTORS,TCS,SUNPHARMA,SAIL,SBIN,SBIN,RELIANCE,SBIN,TATAMOTORS,SUNPHARMA,TCS,TCS,TATAMOTORS,TCS,SUNPHARMA,SBIN,SBIN,SESAGOA,RELIANCE,SSLT,TCS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SBIN,SUNPHARMA,SBIN,SIEMENS,SBIN,RELIANCE,SSLT,TCS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SBIN,SUNPHARMA,SBIN,SBIN,RELIANCE,RELIANCE,TATAMOTORS,SUNPHARMA,TCS,TATAMOTORS,TATAMOTORS,SBIN,SUNPHARMA
STER,SBIN,SESAGOA,RELINFRA,SSLT,NTPC,TCS,TCS,TATASTEEL,TATASTEEL,TATAMOTORS,TCS,STER,SESAGOA,SESAGOA,RELINFRA,SSLT,TATAPOWER,TCS,TATAMTRDVR,TATASTEEL,TATASTEEL,TCS,TCS,SAIL,SESAGOA,SESAGOA,SBIN,SUNPHARMA,TATAMOTORS,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,STER,SAIL,SESAGOA,SESAGOA,SBIN,SUNPHARMA,TATAMOTORS,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,STER,SAIL,SESAGOA,SESAGOA,SBIN,SUNPHARMA,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,STER,SESAGOA,SESAGOA,RELINFRA,TATAPOWER,TCS,TATAMTRDVR,TCS,TATASTEEL,TCS,TCS,STER,SESAGOA,SESAGOA,RELINFRA,SSLT,TATAPOWER,TCS,TATAMTRDVR,TATASTEEL,TATASTEEL,TATAMOTORS,TCS,STER,SBIN,SBIN,SBIN,SSLT,TATAMOTORS,TATAMOTORS,TCS,TATAMOTORS,TATASTEEL,TATAMOTORS,TCS,STER,SESAGOA,SESAGOA,RELINFRA,SSLT,TATAPOWER,TCS,TATAMTRDVR,TATAMTRDVR,TATASTEEL,TATAMOTORS,TCS,SAIL,SESAGOA,SIEMENS,SBIN,SUNPHARMA,TATAMOTORS,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,TCS,SAIL,SBIN,SESAGOA,SBIN,SUNPHARMA,TATAMOTORS,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,TCS,SESAGOA,SESAGOA,SBIN,SBIN,TATAPOWER,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,SUNPHARMA,TCS
SUNPHARMA,SAIL,SIEMENS,SBIN,SUNPHARMA,YESBANK,TATAMTRDVR,TATAMTRDVR,TECHM,TECHM,TATASTEEL,TATACONSUM,SUNPHARMA,SIEMENS,SIEMENS,SBIN,SUNPHARMA,TATASTEEL,TATAMTRDVR,TATAMOTORS,TECHM,TECHM,TATAMOTORS,TATACONSUM,STER,SIEMENS,SIEMENS,SSLT,TATAMOTORS,TATAPOWER,TATAMTRDVR,TATASTEEL,TECHM,TECHM,TCS,SUNPHARMA,STER,SIEMENS,SIEMENS,SSLT,TATAMOTORS,TATAPOWER,TATAMTRDVR,TATASTEEL,TECHM,TECHM,TCS,SUNPHARMA,STER,SIEMENS,SIEMENS,SSLT,TATAMOTORS,TATAPOWER,TATASTEEL,TATASTEEL,TECHM,TECHM,TCS,SUNPHARMA,SIEMENS,SIEMENS,SBIN,TATASTEEL,TATAMTRDVR,TATAMOTORS,TECHM,TECHM,TATAMOTORS,TATACONSUM,SUNPHARMA,SIEMENS,SIEMENS,SBIN,SUNPHARMA,TATASTEEL,TATAMTRDVR,TATAMOTORS,TECHM,TECHM,TATASTEEL,TATACONSUM,SUNPHARMA,SAIL,SAIL,SUNPHARMA,SUNPHARMA,TATAPOWER,TATAPOWER,TATAMTRDVR,TATASTEEL,TECHM,TATASTEEL,TATACONSUM,SUNPHARMA,SIEMENS,SIEMENS,SESAGOA,SUNPHARMA,TATASTEEL,TATAMTRDVR,TATAMOTORS,TATAMOTORS,TECHM,TATASTEEL,TATACONSUM,STER,SIEMENS,SBIN,SSLT,TATAMOTORS,TATAPOWER,TATAMTRDVR,TATASTEEL,TECHM,TECHM,TCS,TATACONSUM,STER,SAIL,SIEMENS,SSLT,TATAMOTORS,TATAPOWER,TATAMTRDVR,TATASTEEL,TECHM,TECHM,TCS,TATACONSUM,SIEMENS,SIEMENS,SESAGOA,SESAGOA,TATASTEEL,TATAMTRDVR,TATASTEEL,TECHM,TECHM,TCS,TATACONSUM
SUZLON,STER,STER,SESAGOA,TATAMOTORS,IDFC,TATAMOTORS,TATAMOTORS,TITAN,TITAN,TECHM,TATAMOTORS,SUZLON,STER,STER,SESAGOA,TATAMOTORS,TCS,TATAMOTORS,TATAPOWER,TITAN,TITAN,TATASTEEL,TATAMOTORS,SUNPHARMA,STER,SUNPHARMA,SUNPHARMA,TATAPOWER,TATASTEEL,TATAMOTORS,TECHM,TITAN,TITAN,TATAMOTORS,SUZLON,SUNPHARMA,STER,SUNPHARMA,SUNPHARMA,TATAPOWER,TATASTEEL,TATAMOTORS,TECHM,TITAN,TITAN,TATAMOTORS,SUZLON,SUNPHARMA,STER,SUNPHARMA,SUNPHARMA,TATAPOWER,TATASTEEL,TECHM,TECHM,TITAN,TITAN,TATAMOTORS,SUZLON,STER,STER,SESAGOA,TCS,TATAMOTORS,TATAPOWER,TITAN,TITAN,TATASTEEL,TATAMOTORS,SUZLON,STER,STER,SESAGOA,TATAMOTORS,TCS,TATAMOTORS,TATAPOWER,TITAN,TITAN,TECHM,TATAMOTORS,SUZLON,STER,STER,TCS,TATAMOTORS,TATASTEEL,TATASTEEL,TATAMOTORS,TECHM,TITAN,TECHM,TATAMOTORS,SUZLON,STER,STER,SBIN,TATAMOTORS,TCS,TATAMOTORS,TATAPOWER,TATAPOWER,TITAN,TECHM,TATAMOTORS,SUNPHARMA,STER,SUNPHARMA,SUNPHARMA,TATAPOWER,TATASTEEL,TATAMOTORS,TECHM,TITAN,TITAN,TATAMOTORS,TATAMOTORS,SUNPHARMA,STER,SUNPHARMA,SUNPHARMA,TATAPOWER,TATASTEEL,TATAMOTORS,TECHM,TITAN,TITAN,TATAMOTORS,TATAMOTORS,STER,SUNPHARMA,SUNPHARMA,SUNPHARMA,TCS,TATAMOTORS,TECHM,TITAN,TITAN,TATAMOTORS,TATAMOTORS
TCS,SUNPHARMA,SUNPHARMA,SUNPHARMA,TATAPOWER,TECHM,TATAPOWER,TATAPOWER,UPL,UPL,TITAN,TATASTEEL,TCS,SUNPHARMA,SUNPHARMA,SUNPHARMA,TATAPOWER,TECHM,TATAPOWER,TATASTEEL,UPL,UPL,TECHM,TATASTEEL,SUZLON,SUNPHARMA,TATAMOTORS,TATAMOTORS,TATASTEEL,TECHM,TATAPOWER,UPL,UPL,UPL,TATASTEEL,TATAMOTORS,SUZLON,SUNPHARMA,TATAMOTORS,TATAMOTORS,TATASTEEL,TECHM,TATAPOWER,UPL,UPL,UPL,TATASTEEL,TATAMOTORS,SUZLON,SUNPHARMA,TATAMOTORS,TATAMOTORS,TATASTEEL,TECHM,UPL,UPL,UPL,UPL,TATASTEEL,TCS,SUNPHARMA,SUNPHARMA,SUNPHARMA,TECHM,TATAPOWER,TATASTEEL,ULTRACEMCO,UPL,TECHM,TATASTEEL,TCS,SUNPHARMA,SUNPHARMA,SUNPHARMA,TATAPOWER,TECHM,TATAPOWER,TATASTEEL,UPL,UPL,TITAN,TATASTEEL,TATAMOTORS,SUNPHARMA,SUNPHARMA,TATAMOTORS,TATAPOWER,TCS,TECHM,TATAPOWER,UPL,UPL,TITAN,TATASTEEL,TCS,SUNPHARMA,SUNPHARMA,SUNPHARMA,TATAPOWER,TECHM,TATAPOWER,TATASTEEL,TATASTEEL,UPL,TITAN,TATASTEEL,SUZLON,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TATAPOWER,UPL,UPL,UPL,TATASTEEL,TATASTEEL,SUZLON,SUNPHARMA,TATAMOTORS,TATAMOTORS,TATASTEEL,TECHM,TATAPOWER,UPL,UPL,UPL,TATASTEEL,TATASTEEL,SUNPHARMA,TATAMOTORS,TATAMOTORS,TATAMOTORS,TECHM,TATAPOWER,UPL,UPL,UPL,TATASTEEL,TATASTEEL
TATAMOTORS,TCS,TATAMOTORS,TATAMOTORS,TATASTEEL,CAIRN,TATASTEEL,TATASTEEL,ULTRACEMCO,ULTRACEMCO,UPL,TECHM,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATASTEEL,ULTRACEMCO,TATASTEEL,TECHM,ULTRACEMCO,ULTRACEMCO,TITAN,TECHM,TCS,TATAMOTORS,TATAPOWER,TATAPOWER,TCS,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TATAPOWER,TCS,TATAMOTORS,TATAPOWER,TATAPOWER,TCS,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TATAPOWER,TCS,TATAMOTORS,TATAPOWER,TATAPOWER,TCS,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATAMOTORS,ULTRACEMCO,TATASTEEL,TECHM,UPL,ULTRACEMCO,TITAN,TECHM,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATAMOTORS,TATASTEEL,ULTRACEMCO,TATASTEEL,TECHM,ULTRACEMCO,ULTRACEMCO,UPL,TECHM,TATAPOWER,TCS,TCS,TATAPOWER,TATASTEEL,TECHM,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,UPL,TECHM,TATAMOTORS,TATAMOTORS,TATAMOTORS,TCS,TATASTEEL,ULTRACEMCO,TATASTEEL,TECHM,TECHM,ULTRACEMCO,UPL,TECHM,TCS,TATAMOTORS,TATAMOTORS,TATAPOWER,TCS,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TECHM,TCS,TCS,TATAPOWER,TATAPOWER,TCS,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TECHM,TATAMOTORS,TATAPOWER,TATAPOWER,TATAPOWER,ULTRACEMCO,TATASTEEL,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,TECHM,TECHM
TATAPOWER,TATAMOTORS,TATAPOWER,TATAPOWER,TCS,IDEA,TECHM,TECHM,VEDL,VEDL,ULTRACEMCO,TITAN,TATAPOWER,TATAPOWER,TATAPOWER,TATAPOWER,TCS,VEDL,TECHM,ULTRACEMCO,VEDL,VEDL,UPL,TITAN,TATAMOTORS,TATAPOWER,TATASTEEL,TATASTEEL,TECHM,VEDL,TECHM,VEDL,VEDL,VEDL,TITAN,TATASTEEL,TATAMOTORS,TATAPOWER,TATASTEEL,TATASTEEL,TECHM,VEDL,TECHM,VEDL,VEDL,VEDL,TITAN,TATASTEEL,TATAMOTORS,TATAPOWER,TATASTEEL,TATASTEEL,TECHM,VEDL,VEDL,VEDL,VEDL,VEDL,TITAN,TATAPOWER,TATAPOWER,TATAPOWER,TATAPOWER,VEDL,TECHM,ULTRACEMCO,VEDL,VEDL,UPL,TITAN,TATAPOWER,TATAPOWER,TATAPOWER,TATAPOWER,TCS,VEDL,TECHM,ULTRACEMCO,VEDL,VEDL,ULTRACEMCO,TITAN,TATASTEEL,TATAMOTORS,TATAMOTORS,TATASTEEL,TCS,ULTRACEMCO,VEDL,TECHM,VEDL,VEDL,ULTRACEMCO,TITAN,TATAPOWER,TATAPOWER,TATAPOWER,TATAMOTORS,TCS,VEDL,TECHM,ULTRACEMCO,ULTRACEMCO,VEDL,ULTRACEMCO,TITAN,TATAMOTORS,TATAPOWER,TATAPOWER,TATASTEEL,TECHM,VEDL,TECHM,VEDL,VEDL,VEDL,TITAN,TITAN,TATAMOTORS,TATAMOTORS,TATASTEEL,TATASTEEL,TECHM,VEDL,TECHM,VEDL,VEDL,VEDL,TITAN,TITAN,TATAPOWER,TATASTEEL,TATASTEEL,TATASTEEL,VEDL,TECHM,VEDL,VEDL,VEDL,TITAN,TITAN
TATASTEEL,TATAPOWER,TATASTEEL,TATASTEEL,TECHM,POWERGRID,ULTRACEMCO,ULTRACEMCO,WIPRO,WIPRO,VEDL,UPL,TATASTEEL,TATASTEEL,TATASTEEL,TATASTEEL,TECHM,WIPRO,ULTRACEMCO,VEDL,WIPRO,WIPRO,ULTRACEMCO,UPL,TATAPOWER,TATASTEEL,TCS,TCS,ULTRACEMCO,WIPRO,ULTRACEMCO,WIPRO,WIPRO,WIPRO,UPL,TCS,TATAPOWER,TATASTEEL,TCS,TCS,ULTRACEMCO,WIPRO,ULTRACEMCO,WIPRO,WIPRO,WIPRO,UPL,TCS,TATAPOWER,TATASTEEL,TCS,TCS,ULTRACEMCO,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,UPL,TATASTEEL,TATASTEEL,TATASTEEL,TATASTEEL,WIPRO,ULTRACEMCO,VEDL,WIPRO,WIPRO,ULTRACEMCO,UPL,TATASTEEL,TATASTEEL,TATASTEEL,TATASTEEL,TECHM,WIPRO,ULTRACEMCO,VEDL,WIPRO,WIPRO,VEDL,UPL,TCS,TATAPOWER,TATAPOWER,ULTRACEMCO,TECHM,WIPRO,WIPRO,ULTRACEMCO,WIPRO,WIPRO,VEDL,UPL,TATASTEEL,TATASTEEL,TATASTEEL,TATAPOWER,TECHM,WIPRO,ULTRACEMCO,VEDL,VEDL,WIPRO,VEDL,UPL,TATAPOWER,TATASTEEL,TATASTEEL,TCS,ULTRACEMCO,WIPRO,ULTRACEMCO,WIPRO,WIPRO,WIPRO,UPL,UPL,TATAPOWER,TATAPOWER,TCS,TCS,ULTRACEMCO,WIPRO,ULTRACEMCO,WIPRO,WIPRO,WIPRO,UPL,UPL,TATASTEEL,TCS,TCS,TCS,WIPRO,ULTRACEMCO,WIPRO,WIPRO,WIPRO,UPL,UPL
UNITECH,TATASTEEL,TCS,TCS,ULTRACEMCO,NMDC,WIPRO,WIPRO,YESBANK,YESBANK,WIPRO,ULTRACEMCO,UNITECH,TCS,TCS,TCS,ULTRACEMCO,YESBANK,WIPRO,WIPRO,YESBANK,YESBANK,WIPRO,ULTRACEMCO,TATASTEEL,TCS,ULTRACEMCO,ULTRACEMCO,WIPRO,YESBANK,WIPRO,YESBANK,YESBANK,YESBANK,ULTRACEMCO,UNITECH,TATASTEEL,TCS,ULTRACEMCO,ULTRACEMCO,WIPRO,YESBANK,WIPRO,YESBANK,YESBANK,YESBANK,ULTRACEMCO,UNITECH,TATASTEEL,TCS,ULTRACEMCO,ULTRACEMCO,WIPRO,YESBANK,YESBANK,YESBANK,YESBANK,YESBANK,ULTRACEMCO,UNITECH,TCS,TCS,TCS,YESBANK,WIPRO,WIPRO,YESBANK,YESBANK,WIPRO,ULTRACEMCO,UNITECH,TCS,TCS,TCS,ULTRACEMCO,YESBANK,WIPRO,WIPRO,YESBANK,YESBANK,WIPRO,ULTRACEMCO,UNITECH,TATASTEEL,TATASTEEL,SSLT,ULTRACEMCO,YESBANK,YESBANK,WIPRO,YESBANK,YESBANK,WIPRO,ULTRACEMCO,UNITECH,TCS,TCS,TATASTEEL,ULTRACEMCO,YESBANK,WIPRO,WIPRO,WIPRO,YESBANK,WIPRO,ULTRACEMCO,TATASTEEL,TCS,ULTRACEMCO,ULTRACEMCO,WIPRO,YESBANK,WIPRO,YESBANK,YESBANK,YESBANK,ULTRACEMCO,ULTRACEMCO,TATASTEEL,TATASTEEL,ULTRACEMCO,ULTRACEMCO,WIPRO,YESBANK,WIPRO,YESBANK,YESBANK,YESBANK,ULTRACEMCO,ULTRACEMCO,TCS,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,YESBANK,WIPRO,YESBANK,YESBANK,YESBANK,ULTRACEMCO,ULTRACEMCO
WIPRO,WIPRO,WIPRO,ULTRACEMCO,WIPRO,COALINDIA,YESBANK,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,ULTRACEMCO,WIPRO,ZEEL,YESBANK,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,ULTRACEMCO,ZEEL,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,ULTRACEMCO,WIPRO,ZEEL,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,ULTRACEMCO,WIPRO,ZEEL,ZEEL,YESBANK,YESBANK,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,WIPRO,ZEEL,YESBANK,ZEEL,ZEEL,ZEEL,ZEEL,ZEEL,WIPRO,WIPRO
